Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder589,3.9109931275698386,0.14328354585755254,-0.0,0.24999929304647234,6.872430161217406e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder590,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612327495e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder591,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161212945e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder592,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161172383e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder593,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder594,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder595,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder596,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder597,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder598,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder599,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder600,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder601,3.9109931275698386,0.1432835458537528,-0.0,0.24999929304647234,6.8724301611984735e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder602,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.872430161218542e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder603,3.128993127569839,-0.15645,-0.0,0.2499992930464723,6.872430160994431e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder604,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161231577e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder605,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder606,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder607,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder608,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder609,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder610,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder611,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder612,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder613,3.9109931275698386,0.1432835458537528,-0.0,0.24999929304647234,6.8724301611984735e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder614,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.872430161218542e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder615,3.128993127569839,-0.15645,-0.0,0.2499992930464723,6.872430160994431e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder616,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161231577e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder617,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder618,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder619,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder620,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder621,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder622,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder623,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder624,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder625,3.9109931275698386,0.1432835458537528,-0.0,0.24999929304647234,6.8724301611984735e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder626,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.872430161218542e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder627,3.128993127569839,-0.15645,-0.0,0.2499992930464723,6.872430160994431e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder628,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161231577e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder629,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
