id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
157,50,UNIDENTIFIED: PEARL34,LOAD,3.17,6.44,1,0.00,0.00,,1.00,0.00,50
158,51,east_wallkill_69kV_1,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
159,51,east_wallkill_69kV_2,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
160,51,east_wallkill_69kV_3,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
161,51,east_wallkill_69kV_4,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
162,51,east_wallkill_69kV_5,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
163,51,east_wallkill_69kV_6,LOAD,3.95,1.03,1,0.00,0.00,,1.00,0.00,51
164,54,washington_heights_69kV_1,LOAD,2.36,0.54,1,0.00,0.00,,1.00,0.00,54
165,54,washington_heights_69kV_2,LOAD,2.36,0.54,1,0.00,0.00,,1.00,0.00,54
166,54,washington_heights_69kV_3,LOAD,2.36,0.54,1,0.00,0.00,,1.00,0.00,54
167,54,washington_heights_69kV_4,LOAD,2.36,0.54,1,0.00,0.00,,1.00,0.00,54
168,55,UNIDENTIFIED: L491T,LOAD,21.77,-19.83,1,0.00,0.00,,1.00,0.00,55
169,56,UNIDENTIFIED: GRSSYPNT,LOAD,3.55,1.82,1,0.00,0.00,,1.00,0.00,56
170,59,little_tor_138kV,LOAD,0.00,0.00,1,0.00,0.00,,1.00,0.00,59
171,60,snake_hill_138kV_1,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
172,60,snake_hill_138kV_2,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
173,60,snake_hill_138kV_3,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
174,60,snake_hill_138kV_4,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
175,60,snake_hill_138kV_5,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
176,60,snake_hill_138kV_6,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
177,60,snake_hill_138kV_7,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
178,60,snake_hill_138kV_8,LOAD,4.00,1.20,1,0.00,0.00,,1.00,0.00,60
179,61,corporate_drive_138kV_1,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
180,61,corporate_drive_138kV_2,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
181,61,corporate_drive_138kV_3,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
182,61,corporate_drive_138kV_4,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
183,61,corporate_drive_138kV_5,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
184,61,corporate_drive_138kV_6,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
185,61,corporate_drive_138kV_7,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
186,61,corporate_drive_138kV_8,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
187,61,corporate_drive_138kV_9,LOAD,7.11,5.21,1,0.00,0.00,,1.00,0.00,61
188,62,hartley_road_69kV_1,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
189,62,hartley_road_69kV_2,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
190,62,hartley_road_69kV_3,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
191,62,hartley_road_69kV_4,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
192,62,hartley_road_69kV_5,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
193,62,hartley_road_69kV_6,LOAD,2.09,0.96,1,0.00,0.00,,1.00,0.00,62
194,58,westtown_69kV_1,LOAD,0.00,0.00,1,0.00,0.00,,1.00,0.00,58
195,58,westtown_69kV_2,LOAD,0.00,0.00,1,0.00,0.00,,1.00,0.00,58
196,58,westtown_69kV_3,LOAD,0.00,0.00,1,0.00,0.00,,1.00,0.00,58
197,58,westtown_69kV_4,LOAD,0.00,0.00,1,0.00,0.00,,1.00,0.00,58
