timestamp,Pg_1,Pg_2,Pg_3,Pg_4,Pg_5,Pg_6,Pg_7,Pg_8,Pg_9,Pg_10,Pg_11,Pg_12,Qg_1,Qg_2,Qg_3,Qg_4,Qg_5,Qg_6,Qg_7,Qg_8,Qg_9,Qg_10,Qg_11,Qg_12
219.0,3.606829161905354e-7,3.606829161905354e-7,3.606829161905354e-7,3.606829161905354e-7,4.0102394140967937e-7,4.0102394140967937e-7,3.5770591183844444e-7,3.5770591183844444e-7,3.6240708178998763e-7,3.6240708178998763e-7,3.6240708178998763e-7,3.6240708178998763e-7,-3.8623601513286447e-10,-4.616175960996763e-9,3.333860169758086e-9,-8.20492044589976e-8,-1.821893940359264e-8,1.0646463145234374e-8,-7.208617245177046e-9,1.137975884354699e-8,-1.1288050345569273e-8,-4.674025953060357e-9,-1.1916365183066398e-8,-1.140259938455142e-8
220.0,4.0143228996597205e-7,4.0143228996597205e-7,4.0143228996597205e-7,3.587337819260976e-7,3.873159370035613e-7,3.873159370035613e-7,3.873159370035613e-7,3.424941671887016e-7,3.990333192993861e-7,3.990333192993861e-7,3.990333192993861e-7,3.575498656214576e-7,-5.436793510383971e-9,-5.507665777933639e-9,8.249309176547262e-9,-2.2808328519465375e-8,-3.953356119945693e-9,-5.8815750887428465e-9,-2.7032233032509624e-10,7.23572270428416e-8,6.842966211177107e-9,1.8928678960478357e-9,-1.1779380961938816e-8,4.91874567107772e-9
221.0,3.641649167901205e-7,3.641649167901205e-7,3.641649167901205e-7,3.641649167901205e-7,3.743911380944197e-7,3.743911380944197e-7,3.3608245733544796e-7,3.3608245733544796e-7,3.5381366402050113e-7,3.5381366402050113e-7,3.5381366402050113e-7,3.5381366402050113e-7,-6.747449287812981e-9,5.196637934571134e-9,-1.0715460748698662e-8,-3.914584873484946e-9,-1.0894880422369853e-8,3.335038811808132e-10,5.124502584845004e-9,-4.207237431515321e-9,-2.2590548031564374e-8,-1.6106141804531114e-8,-1.7643705477485973e-8,-8.953127839930061e-9
222.0,3.889893344199217e-7,3.889893344199217e-7,3.889893344199217e-7,3.557640591290777e-7,3.6969144479943903e-7,3.6969144479943903e-7,3.6969144479943903e-7,3.3959635192459157e-7,3.8768418912239477e-7,3.8768418912239477e-7,3.8768418912239477e-7,3.5969188728678204e-7,-5.719984959453439e-11,-1.2413773526351454e-9,-1.3617486491598247e-8,-6.910153375507973e-9,5.083741995348994e-10,-5.176016943876978e-9,4.975010824553797e-9,-4.5144961077434926e-9,-5.848377591243314e-9,-2.452498032175746e-9,-5.210766057847117e-9,-8.625704587150723e-9
223.0,3.588229178615103e-7,3.588229178615103e-7,3.588229178615103e-7,3.588229178615103e-7,3.7431995803483416e-7,3.7431995803483416e-7,3.444682526671567e-7,3.444682526671567e-7,3.56334321849392e-7,3.56334321849392e-7,3.56334321849392e-7,3.56334321849392e-7,-1.690066901557377e-8,1.0071400937689547e-8,-1.3050894216740809e-8,-4.283656048092316e-9,4.907839585365185e-9,2.9459394480350987e-8,1.5592223662463776e-8,-2.126319775149531e-8,-3.3227410165388725e-10,8.536295801163573e-9,4.558260205822923e-9,6.835680451612421e-8
224.0,3.9227204968624187e-7,3.9227204968624187e-7,3.9227204968624187e-7,3.6138403648850555e-7,3.827364755417576e-7,3.827364755417576e-7,3.827364755417576e-7,3.487752233625421e-7,3.927114581437438e-7,3.927114581437438e-7,3.927114581437438e-7,3.557764191631403e-7,-6.493655410542431e-9,3.403785478022953e-9,-7.861129479982085e-9,-5.603727237443442e-9,-1.7709297737539932e-8,2.5761272970470234e-9,-1.7791812408894658e-8,-4.852123699996791e-9,-1.1868513160443119e-8,1.1635893460365111e-8,-3.3399747756622427e-9,-5.811941778843151e-9
225.0,3.6539217720037107e-7,3.6539217720037107e-7,3.6539217720037107e-7,3.6539217720037107e-7,3.9314927496145086e-7,3.9314927496145086e-7,3.597598355488423e-7,3.597598355488423e-7,3.6661319907952536e-7,3.6661319907952536e-7,3.6661319907952536e-7,3.6661319907952536e-7,-1.2485377498163371e-8,-2.6370460540974167e-8,-1.483649052450818e-8,-2.4804968506343805e-8,-3.0300240771819105e-8,-1.935194499066513e-8,-2.160572633193411e-8,1.0911191067352022e-8,-8.006622120802379e-9,-1.1520910841585216e-10,-3.434866875056093e-9,6.769419768381676e-8
226.0,3.945344953635433e-7,3.945344953635433e-7,3.945344953635433e-7,3.59354994078501e-7,3.9538321464427014e-7,3.9538321464427014e-7,3.9538321464427014e-7,3.619017880169781e-7,4.000603320843964e-7,4.000603320843964e-7,4.000603320843964e-7,3.626292766735058e-7,-1.695542867649672e-9,-6.583472601439436e-9,-5.850443858028125e-9,6.660600594921306e-8,-1.969032731144763e-8,1.0567407417650971e-8,-8.766670824544357e-9,-7.425992406958021e-9,-8.899078659802162e-9,1.6051946195289808e-9,-9.029347351950872e-9,-7.318654136961087e-9
227.0,3.6739096551598416e-7,3.6739096551598416e-7,3.6739096551598416e-7,3.6739096551598416e-7,3.8889316449387106e-7,3.8889316449387106e-7,3.6790697149053694e-7,3.6790697149053694e-7,3.6237997193817946e-7,3.6237997193817946e-7,3.6237997193817946e-7,3.6237997193817946e-7,-1.9678973259822217e-9,-3.9737617886469145e-9,2.754309251780343e-9,-7.804995946244824e-9,-8.81961768826776e-9,-4.655270080156599e-9,-1.1999544457077616e-9,-8.62744228608564e-9,-2.0572084866274013e-8,-4.280025900785889e-9,-1.5788115266510816e-8,-7.0294550426083305e-9
228.0,4.0052489854017273e-7,4.0052489854017273e-7,4.0052489854017273e-7,3.6734254312454e-7,3.936984815512785e-7,3.936984815512785e-7,3.936984815512785e-7,3.6612903717809827e-7,3.968078518730034e-7,3.968078518730034e-7,3.968078518730034e-7,3.6472858052523676e-7,-9.390165981834654e-9,-1.0954047931803101e-8,-1.6181381724154798e-8,8.253318294986544e-9,-1.98545690492457e-8,-1.0886254498997056e-8,-9.169048686980945e-9,-6.702884021148713e-9,-1.820004309787846e-8,-4.229363969127659e-9,-1.4250750713943995e-8,-2.4717051611236308e-8
229.0,3.64168793364543e-7,3.64168793364543e-7,3.64168793364543e-7,3.64168793364543e-7,3.9677581402907646e-7,3.9677581402907646e-7,3.6697725512275605e-7,3.6697725512275605e-7,3.659992246922623e-7,3.659992246922623e-7,3.659992246922623e-7,3.659992246922623e-7,-3.078299790946004e-8,-1.8592140048541076e-8,-2.615489836014342e-8,-7.518129693136032e-9,-1.2362709962580126e-8,7.26707081638021e-9,-1.5206335914174117e-8,-2.5046993799405466e-8,-2.178933126278847e-8,-1.4796285450742652e-8,-1.739221568094107e-8,-2.670967473200316e-8
230.0,4.0197758405589e-7,4.0197758405589e-7,4.0197758405589e-7,3.653999371344093e-7,3.94734466862865e-7,3.94734466862865e-7,3.94734466862865e-7,3.640439561853821e-7,3.943500105338135e-7,3.943500105338135e-7,3.943500105338135e-7,3.5722191577582615e-7,-1.2499641638243052e-8,-3.3793782925500336e-9,-8.415522623842914e-9,-7.442710053267021e-9,-1.9604293370020757e-8,-8.70966039375371e-9,4.219080126844156e-10,-6.518772482391564e-9,-3.0861826968974414e-9,9.667790005612735e-9,1.0912064924285147e-9,-8.205093033820887e-9
231.0,3.576508290719868e-7,3.576508290719868e-7,3.576508290719868e-7,3.576508290719868e-7,2.456386099478144e-7,2.456386099478144e-7,2.0114709261393688e-7,2.0114709261393688e-7,2.643501395580055e-7,2.643501395580055e-7,2.643501395580055e-7,2.643501395580055e-7,3.550214826952547e-9,-4.326515272511073e-9,7.319554682288995e-9,-2.289948567518113e-9,-1.5516326093896616e-8,-1.1121454165482914e-8,-1.094548070619355e-8,-1.6559407042522843e-9,-2.9371192490264763e-9,8.073979397071225e-9,-1.7752065478132824e-8,-9.715132328669028e-9
