timestamp,bnk139_Pf_1,bnk139_Pf_2,bnk139_Pf_3,bnk139_Pf_4,bnk239_Pf_5,bnk239_Pf_6,bnk239_Pf_7,bnk239_Pf_8,bnk276_Pf_9,bnk276_Pf_10,bnk276_Pf_11,bnk276_Pf_12
162,14.645357540980548,9.183617354722308,11.418419930059512,7.019970271752418,9.937063468749928,16.51767755744615,9.054732230172359,14.305794507721753,6.049878842749114,6.893803967657061,10.943181855541615,9.57712817391546
163,8.16838051408933,5.122120155773529,6.368570968472422,3.915355990238914,5.542351245319703,9.212658354069813,5.050235072942066,7.97899080090446,3.3742702741065966,3.8449625865586916,6.103469870897054,5.341564640965134
164,7.8391861961844995,4.915693331264308,6.111910866463385,3.757563029646774,5.318988666330515,8.841378541905435,4.846705292806501,7.657429087448274,3.2382624915106937,3.689982459573898,5.857455374177049,5.126260500100869
165,5.993152014460058,3.758106601049177,4.672629276157999,2.872702073532709,4.066430729254066,6.759340101503743,3.705364416935948,5.85419652149127,2.4756746127511486,2.8210177280602253,4.478066124407324,3.919062463811643
166,11.239625790850944,7.047996075521708,8.76310235359885,5.3874983042655495,7.626230669763936,12.676543686976563,6.94908278058199,10.979027071048053,4.64287581631911,5.290531687628877,8.398157336914334,7.349802854606433
167,13.66849182454374,8.571057304781617,10.65679544022769,6.551728491400405,9.274247515126678,15.415925491928018,8.450768997289853,13.35157811786039,5.646153317060616,6.433760931560312,10.212912380372133,8.93801932444912
168,8.65004216019176,5.424154178491845,6.74410396068594,4.146231230206323,5.869164867615328,9.755897516367247,5.348030276561896,8.449484779089097,3.5731169488585026,4.071547288664428,6.463149028073538,5.656344513513874
169,9.472528175968115,5.939907844960163,7.385364557325985,4.540474072248643,6.427232208618031,10.683533374084435,5.856545730355153,9.252900871475159,3.91283521026853,4.458654395974663,7.077640460197665,6.1941280654015225
170,4.551110330621546,2.853850150028749,3.548325041410323,2.18148714601402,3.0879868983821233,5.132942146288886,2.813798521370221,4.445589599957443,1.8799223294731826,2.142161248293741,3.4004535397224966,2.975969862264072
171,4.060243835879635,2.5460440724134052,3.165615384041028,1.9461997390083996,2.7549276678864376,4.579321351356907,2.5103122692787805,3.9661041940973343,1.6771468793406346,1.9110997280547681,3.033667909081429,2.654970627912405
172,7.178734993182635,4.501546314855649,5.596982558425413,3.4409884565752185,4.870864029982282,8.096492663695471,4.438370516578383,7.012290915431363,2.9652639050147185,3.378902058185971,5.3636482656410145,4.69409606803075
173,5.409304540912836,3.3919952394401762,4.217425938894841,2.5928460238548094,3.6702827086629894,6.10085127432439,3.344391151418882,5.283885966965888,2.2343594317574427,2.5460403945580645,4.041568802930869,3.5370537527680774
174,6.741545845801244,4.227399519193384,5.256123056723472,3.231430252949097,4.5742255701002925,7.603411538987255,4.168071163872322,6.585238309447288,2.784629603078298,3.1730702556405825,5.036912133097106,4.408146893308974
175,8.360629767642529,5.242673278250957,6.51846029020242,4.0075069698878325,5.672794836678416,9.429485507108975,5.169096323512679,8.166782618748382,3.453370390731929,3.9350967383338813,6.24654826693188,5.46678234782887
176,12.536453266830314,7.861193519227648,9.774188676082733,6.009107596049175,8.50614479277298,14.139162679781965,7.750867613138374,12.245786679436979,5.178154085292352,5.900478357696657,9.366382915136317,8.197163392547196
177,13.745679867718133,8.619459363310396,10.716975977853936,6.588727094329882,9.326620595258474,15.502981557638758,8.498491769530778,13.426976501342402,5.6775702807615875,6.469560390465687,10.269740220410737,8.98775326061878
178,8.71247939426634,5.463306494495308,6.792783861872377,4.1761593166888495,5.911529334039325,9.826316971620344,5.386633119418819,8.510474361473966,3.5986026863740403,4.100588147658463,6.509248308340842,5.6966891519995855
179,7.359807590286052,4.6150909272401845,5.738157872566283,3.5277821210616014,4.993724116179097,8.300714292636552,4.550321616195138,7.189165215556338,3.039865954460361,3.463910686925719,5.498590438054636,4.812193208179929
180,5.94170710694016,3.725847207982821,4.632519667657042,2.8480429472251276,4.031524697787185,6.701318274996025,3.673557760055418,5.803944400750001,2.454115995698233,2.7964518014293613,4.439070324144846,3.8849345673471394
